-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.13,0.98,0.02,1.10,1.04,-0.49,0.98,1.59,14,502,15,52
0.13,0.97,0.02,1.40,1.16,-0.43,0.98,1.87,13,502,16,52
0.13,0.97,0.02,1.28,0.92,-0.37,0.98,1.62,13,502,16,52
0.13,0.98,0.02,1.95,1.10,-0.24,0.98,2.25,14,503,16,52
0.13,0.98,0.02,1.65,0.98,-0.37,0.98,1.95,13,501,16,51
0.13,0.97,0.03,1.71,1.10,-0.55,0.98,2.10,12,501,15,53
0.13,0.97,0.03,1.77,1.16,-0.55,0.98,2.19,13,502,15,50
0.13,0.97,0.03,1.40,1.10,-0.73,0.98,1.93,13,502,15,52
0.13,0.97,0.03,1.16,1.16,-0.61,0.98,1.75,13,501,17,53
0.13,0.97,0.03,1.16,1.10,-0.55,0.98,1.69,14,500,17,53
0.13,0.97,0.03,0.98,1.10,-0.79,0.98,1.67,13,501,16,51
0.13,0.97,0.02,0.61,1.22,-0.49,0.98,1.45,13,502,16,51
0.13,0.98,0.02,1.22,1.10,-0.67,0.98,1.77,14,502,18,53
0.13,0.97,0.02,1.22,1.04,-0.67,0.98,1.74,13,503,16,50
0.13,0.98,0.02,1.59,1.22,-0.67,0.98,2.11,15,503,17,51
0.13,0.97,0.02,1.83,1.28,-0.61,0.98,2.32,13,500,17,54
0.13,0.97,0.02,1.95,0.92,-0.55,0.98,2.23,14,503,15,51
0.13,0.97,0.03,1.65,0.98,-0.61,0.98,2.01,14,502,15,52
0.13,0.97,0.03,1.71,1.10,-0.73,0.98,2.16,14,504,16,51
0.13,0.97,0.03,1.53,1.10,-0.55,0.98,1.96,14,503,17,53
0.13,0.97,0.03,1.28,1.16,-0.49,0.98,1.80,14,503,18,53
0.13,0.98,0.03,1.34,1.22,-0.49,0.98,1.88,13,504,17,54
0.13,0.97,0.03,1.10,1.16,-0.37,0.98,1.64,14,503,17,51
0.13,0.97,0.02,1.16,1.04,-0.49,0.98,1.63,14,502,18,54
0.13,0.98,0.03,1.16,1.04,-0.43,0.98,1.61,14,502,16,51
0.13,0.98,0.02,1.28,1.04,-0.43,0.98,1.70,13,505,18,52
0.13,0.97,0.02,1.65,1.10,-0.49,0.98,2.04,13,504,18,50
0.13,0.97,0.02,1.95,0.98,-0.55,0.98,2.25,13,505,17,51
0.13,0.97,0.03,1.65,1.04,-0.55,0.98,2.02,12,503,16,51
