-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.05,0.97,-0.03,28.81,-11.35,-25.33,0.97,40.01,326,636,109,43
0.08,0.99,0.00,23.56,-8.85,-24.78,0.99,35.32,459,647,122,35
0.09,0.99,0.01,21.61,-9.28,-24.05,1.00,33.63,396,657,121,21
0.11,0.94,-0.03,17.88,-8.91,-24.90,0.95,31.93,408,674,132,15
0.04,1.24,0.09,7.20,-11.66,-43.76,1.25,45.86,386,705,142,8
0.07,1.36,0.10,-5.43,-6.53,-78.55,1.37,79.01,321,737,148,3
0.09,1.30,0.11,-10.31,1.28,-105.41,1.31,105.92,293,762,151,2
0.15,1.50,0.02,-16.85,10.80,-137.82,1.51,139.26,232,801,157,2
0.21,1.76,-0.15,-15.75,3.42,-192.20,1.77,192.87,142,819,155,0
0.14,1.96,-0.09,-16.85,-8.97,-259.40,1.97,260.10,89,821,145,1
0.34,2.99,-0.01,-56.76,-16.72,-361.39,3.01,366.20,44,781,93,0
0.42,3.25,0.04,-44.13,-9.03,-418.76,3.27,421.18,10,748,30,0
0.13,2.83,-0.79,7.20,-37.48,-420.84,2.94,422.56,3,727,8,0
-0.94,0.19,-0.95,-63.42,-63.90,-289.86,1.35,303.52,0,0,0,14
-1.76,1.04,0.36,-46.45,-65.61,17.09,2.08,82.19,1,703,0,10
-0.95,0.61,-0.17,119.51,-18.25,178.10,1.14,215.26,1,703,0,12
-0.63,-0.16,-0.65,102.78,-20.94,243.65,0.93,265.27,1,690,0,12
-0.66,0.18,-0.47,-11.35,-37.72,256.35,0.83,259.36,1,675,0,12
-0.86,0.69,0.00,-50.84,-9.52,261.47,1.10,266.54,1,662,0,10
-0.68,0.88,-0.15,-49.80,38.57,298.46,1.12,305.04,1,655,0,13
-0.30,1.29,-0.34,-88.01,43.03,344.42,1.36,358.08,2,648,0,12
0.47,2.08,-0.22,-106.32,24.66,340.15,2.14,357.23,2,642,0,8
0.82,2.45,-0.09,-84.53,21.55,259.34,2.59,273.62,3,634,0,6
1.13,2.45,-0.05,-75.93,61.04,238.28,2.70,257.43,3,633,0,1
2.05,1.86,-0.26,-74.83,93.08,250.00,2.78,277.06,3,632,0,1
2.38,3.08,0.87,-147.46,88.44,233.64,3.99,290.10,3,636,0,0
4.00,1.26,-0.75,112.49,107.30,152.28,4.26,217.62,3,616,0,3
4.00,0.74,1.41,154.97,-20.81,-107.67,4.30,189.84,4,529,0,44
-0.16,0.53,0.35,105.53,27.47,-279.91,0.66,300.40,3,460,0,104
0.42,1.38,-0.02,-70.31,30.46,-145.81,1.44,164.72,16,471,0,125
