-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.02,1.01,0.01,-0.49,-1.04,-2.87,1.01,3.09,142,601,126,127
0.02,0.99,0.01,0.73,-1.28,-3.30,0.99,3.61,137,606,131,112
0.02,1.00,0.01,2.62,-1.65,-3.36,1.00,4.57,155,615,136,94
0.02,1.00,0.01,3.97,-2.26,-4.64,1.00,6.51,170,623,145,86
0.03,1.00,0.02,4.03,-2.69,-4.82,1.00,6.83,189,631,150,66
0.03,1.00,0.02,4.88,-3.66,-6.65,1.00,9.03,178,650,155,48
0.04,1.02,0.01,6.71,-4.64,-9.95,1.02,12.87,204,664,157,30
0.04,1.11,-0.00,9.52,-4.64,-13.00,1.11,16.77,179,687,161,18
0.05,1.02,0.04,20.26,-5.00,-19.96,1.02,28.88,158,706,162,15
0.04,1.05,0.06,18.13,-4.64,-22.16,1.05,29.00,145,732,165,9
0.05,1.10,0.16,8.18,-2.44,-31.68,1.11,32.81,127,763,171,6
0.06,1.27,0.08,0.49,1.22,-48.65,1.27,48.66,91,783,174,3
0.05,1.42,0.15,2.08,3.97,-72.69,1.43,72.83,67,814,177,0
0.18,1.64,-0.10,5.07,6.90,-113.40,1.65,113.73,34,854,177,1
0.04,1.63,0.10,13.92,0.24,-161.56,1.63,162.16,19,879,170,0
0.10,2.03,-0.18,13.49,-2.38,-225.65,2.04,226.06,9,891,158,0
0.04,2.74,-0.42,35.10,-17.27,-303.47,2.77,305.98,3,888,123,0
0.19,2.45,0.16,69.21,-21.79,-355.22,2.46,362.56,1,894,71,0
0.11,1.00,-0.06,61.28,-13.55,-303.10,1.01,309.53,0,0,37,6
-0.43,0.90,-0.16,18.37,-15.38,-285.10,1.01,286.10,0,0,15,13
-0.75,0.64,0.39,28.69,3.05,-221.07,1.06,222.94,0,0,9,14
-0.96,-0.27,-0.26,54.38,45.41,-7.45,1.03,71.24,0,0,8,16
-0.55,0.32,-0.26,-10.13,51.33,143.25,0.69,152.51,0,0,7,15
-0.31,0.82,-0.07,-2.69,43.33,199.28,0.88,203.95,0,0,4,12
-0.11,0.62,-0.15,16.30,24.54,219.12,0.65,221.09,0,0,6,12
-0.17,0.85,0.00,-2.44,17.27,235.35,0.87,236.00,0,0,6,11
